M12,R, , , 
1,L3.4,603569.1303,7797595.9462,914.733
2,L2.5,603529.5912,7797549.0078,914.864
3,L1.1,603516.0811,7797428.4062,900.547
4,L2.4,603541.6807,7797538.1827,910.855
5,L1.2,603505.8903,7797437.1829,903.640
6,L3.3,603583.4513,7797582.1671,911.191
7,L1.3,603493.1473,7797448.4232,907.426
8,L3.2,603597.6075,7797568.5644,907.812
9,L1.4,603479.0753,7797460.8274,911.839
10,L3.1,603608.8632,7797557.8067,905.520
11,L1.5,603467.3006,7797470.7437,916.387
12,L2.3,603556.7790,7797524.9176,907.300
13,L2.2,603570.0202,7797513.4874,904.195
METRICA_PONTO,L2.2,603702.5599,7797699.0643, 
