1,L3.4,603569.1325,7797595.9437,914.729
2,L1.1,603516.0759,7797428.4071,900.537
3,L2.5,603529.6057,7797548.9938,914.882
4,L1.2,603505.8884,7797437.1831,903.647
5,L1.3,603493.1654,7797448.4052,907.442
6,L2.4,603541.6730,7797538.1906,910.854
7,L1.4,603479.0962,7797460.7987,911.825
8,L1.5,603467.6397,7797470.3952,914.911
8,L1.5,603467.6321,7797470.4057,916.421
9,L3.3,603583.4595,7797582.1580,911.185
10,L3.2,603597.6161,7797568.5608,907.829
11,L3.1,603608.8796,7797557.7985,905.524
12,L2.3,603556.8022,7797524.8970,907.305
13,L2.2,603570.0600,7797513.4609,904.174
14,L2.1,603583.9348,7797501.3537,901.547
METRICA_PONTO,L2.1,603702.5599,7797699.0643, 
