M7,R, , , 
1,PR3,602764.9177,7797407.1007,933.973
2,PR6,602773.9777,7797402.4583,933.775
3,PR9,602781.7528,7797398.4628,933.556
4,PR12,602788.6188,7797394.7565,933.201
5,PR15,602796.2850,7797390.8767,933.226
6,PR18,602802.5496,7797387.5310,933.506
7,PR17,602794.6662,7797373.3375,933.986
8,PR14,602787.9566,7797376.7117,933.960
9,PR11,602779.9852,7797380.8151,933.833
10,PR8,602773.7274,7797384.2408,933.883
11,PR5,602765.8854,7797388.3613,933.883
12,PR2,602756.6407,7797393.2923,934.051
13,PR1,602749.3645,7797379.2474,934.173
14,PR4,602757.9558,7797374.5503,934.090
15,PR7,602646.1322,7797459.6803,933.967
16,PR10,602772.3976,7797367.2168,933.880
17,PR13,602779.9646,7797363.0474,935.027
METRICA_PONTO,PR13,602706.3017,7797414.7069, 
